candidate,target,reference,prediction,units,absolute_error,relative_error,normalization_scale,normalized_residual,used_for_fit,geometry,source_doi,source_url,reference_method
sqrt,normal_strain_force_ev,0.0,-0.05922255213256026,eV/atom per unit normal strain,-0.05922255213256026,,0.1,-0.5922255213256026,True,fixed target FCC; not an error silently relaxed away,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,0 K EAM rigid interface / affine bulk; not experiment
sqrt,cohesive_ev_atom,3.36,2.9984493235236536,eV/atom,-0.3615506764763463,-0.1076043679989126,0.0672,-5.38021839994563,True,fixed target FCC; not an error silently relaxed away,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,0 K EAM rigid interface / affine bulk; not experiment
sqrt,hydrostatic_strain_curvature_ev,74.01042469890372,65.52888269604648,eV/atom per squared unit strain,-8.481542002857239,-0.11459928837542357,3.700521234945186,-2.2919857675084714,True,fixed target FCC; not an error silently relaxed away,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,0 K EAM rigid interface / affine bulk; not experiment
sqrt,normal_strain_curvature_ev,12.646038954154417,14.082109421228898,eV/atom per squared unit strain,1.4360704670744813,0.1135589153473792,0.6323019477077209,2.271178306947584,True,fixed target FCC; not an error silently relaxed away,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,0 K EAM rigid interface / affine bulk; not experiment
sqrt,simple_shear_strain_curvature_ev,2.90236959603544,2.790823445409583,eV/atom per squared unit strain,-0.11154615062585682,-0.038432786361263536,0.145118479801772,-0.7686557272252708,True,fixed target FCC; not an error silently relaxed away,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,0 K EAM rigid interface / affine bulk; not experiment
sqrt,intrinsic_fault_rigid,0.06943467959307983,-2.2112346480322046e-06,eV/interface_cell,-0.06943689082772787,-1.0000318462569568,0.006943467959307984,-10.000318462569568,True,fixed target FCC; not an error silently relaxed away,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,0 K EAM rigid interface / affine bulk; not experiment
sqrt,shockley_half_partial_rigid,0.0717731071150184,0.04994253484635177,eV/interface_cell,-0.02183057226866663,-0.30416089181819217,0.00717731071150184,-3.0416089181819217,True,fixed target FCC; not an error silently relaxed away,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,0 K EAM rigid interface / affine bulk; not experiment
sqrt,direct_half_registry_rigid,0.26732847628894085,0.27200996429910956,eV/interface_cell,0.004681488010168711,0.017512118705635925,0.026732847628894087,0.17512118705635923,True,fixed target FCC; not an error silently relaxed away,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,0 K EAM rigid interface / affine bulk; not experiment
sqrt,opening_20percent_rigid,0.1829129464964322,0.16578797244524196,eV/interface_cell,-0.017124974051190234,-0.09362363014322918,0.01829129464964322,-0.9362363014322916,True,fixed target FCC; not an error silently relaxed away,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,0 K EAM rigid interface / affine bulk; not experiment
sqrt,work_separation_rigid,0.7719163228888833,1.7170738346766916,eV/interface_cell,0.9451575117878083,1.2244300110801813,0.07719163228888834,12.244300110801813,True,fixed target FCC; not an error silently relaxed away,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,0 K EAM rigid interface / affine bulk; not experiment
linear,normal_strain_force_ev,0.0,0.13679405782559106,eV/atom per unit normal strain,0.13679405782559106,,0.1,1.3679405782559106,True,fixed target FCC; not an error silently relaxed away,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,0 K EAM rigid interface / affine bulk; not experiment
linear,cohesive_ev_atom,3.36,3.356232605524272,eV/atom,-0.0037673944757279365,-0.0011212483558714096,0.0672,-0.05606241779357049,True,fixed target FCC; not an error silently relaxed away,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,0 K EAM rigid interface / affine bulk; not experiment
linear,hydrostatic_strain_curvature_ev,74.01042469890372,70.0044498058898,eV/atom per squared unit strain,-4.005974893013914,-0.054127170723737954,3.700521234945186,-1.082543414474759,True,fixed target FCC; not an error silently relaxed away,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,0 K EAM rigid interface / affine bulk; not experiment
linear,normal_strain_curvature_ev,12.646038954154417,14.123407645118856,eV/atom per squared unit strain,1.4773686909644397,0.11682461965524008,0.6323019477077209,2.3364923931048014,True,fixed target FCC; not an error silently relaxed away,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,0 K EAM rigid interface / affine bulk; not experiment
linear,simple_shear_strain_curvature_ev,2.90236959603544,2.8123648789826055,eV/atom per squared unit strain,-0.09000471705283442,-0.03101077036356034,0.145118479801772,-0.6202154072712067,True,fixed target FCC; not an error silently relaxed away,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,0 K EAM rigid interface / affine bulk; not experiment
linear,intrinsic_fault_rigid,0.06943467959307983,-0.00015706004935893877,eV/interface_cell,-0.06959173964243877,-1.0022619827768973,0.006943467959307984,-10.022619827768974,True,fixed target FCC; not an error silently relaxed away,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,0 K EAM rigid interface / affine bulk; not experiment
linear,shockley_half_partial_rigid,0.0717731071150184,0.04961705976320076,eV/interface_cell,-0.022156047351817643,-0.3086956694840027,0.00717731071150184,-3.086956694840027,True,fixed target FCC; not an error silently relaxed away,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,0 K EAM rigid interface / affine bulk; not experiment
linear,direct_half_registry_rigid,0.26732847628894085,0.2904042456202212,eV/interface_cell,0.02307576933128036,0.08631990744726728,0.026732847628894087,0.8631990744726727,True,fixed target FCC; not an error silently relaxed away,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,0 K EAM rigid interface / affine bulk; not experiment
linear,opening_20percent_rigid,0.1829129464964322,0.1597005616928357,eV/interface_cell,-0.023212384803596497,-0.12690400131982602,0.01829129464964322,-1.2690400131982602,True,fixed target FCC; not an error silently relaxed away,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,0 K EAM rigid interface / affine bulk; not experiment
linear,work_separation_rigid,0.7719163228888833,0.8020394655678588,eV/interface_cell,0.030123142678975423,0.03902384466523533,0.07719163228888834,0.3902384466523533,True,fixed target FCC; not an error silently relaxed away,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,0 K EAM rigid interface / affine bulk; not experiment
quadratic,normal_strain_force_ev,0.0,0.13679405864743943,eV/atom per unit normal strain,0.13679405864743943,,0.1,1.3679405864743943,True,fixed target FCC; not an error silently relaxed away,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,0 K EAM rigid interface / affine bulk; not experiment
quadratic,cohesive_ev_atom,3.36,3.3562326048554576,eV/atom,-0.0037673951445422738,-0.0011212485549232957,0.0672,-0.056062427746164795,True,fixed target FCC; not an error silently relaxed away,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,0 K EAM rigid interface / affine bulk; not experiment
quadratic,hydrostatic_strain_curvature_ev,74.01042469890372,70.00445002322813,eV/atom per squared unit strain,-4.0059746756755885,-0.05412716778714725,3.700521234945186,-1.082543355742945,True,fixed target FCC; not an error silently relaxed away,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,0 K EAM rigid interface / affine bulk; not experiment
quadratic,normal_strain_curvature_ev,12.646038954154417,14.12340765780602,eV/atom per squared unit strain,1.477368703651603,0.11682462065849203,0.6323019477077209,2.3364924131698404,True,fixed target FCC; not an error silently relaxed away,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,0 K EAM rigid interface / affine bulk; not experiment
quadratic,simple_shear_strain_curvature_ev,2.90236959603544,2.8123648722004173,eV/atom per squared unit strain,-0.09000472383502256,-0.031010772700336524,0.145118479801772,-0.6202154540067304,True,fixed target FCC; not an error silently relaxed away,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,0 K EAM rigid interface / affine bulk; not experiment
