cycle,loop_area
10,0.01520867614626594
11,0.015209043532516533
12,0.015208852105942208
13,0.015208624694427578
14,0.015208992307802153
15,0.015208839674516474
16,0.015208573304793423
17,0.015208941107980146
18,0.0152088272680764
19,0.015208521910484996
20,0.015208889896682728
21,0.015208814865283499
22,0.01520847049830299
23,0.015208838665388918
24,0.01520920553820836
25,0.015208891269800712
26,0.015208787411308699
27,0.015209154466010361
28,0.015208878904692741
29,0.015208736133334799
30,0.015209103369403522
31,0.015208866534318442
32,0.015208684830973908
33,0.015209052248005811
34,0.015208854158348356
35,0.015208633503991965
36,0.015209001101635066
37,0.015208841776607548
38,0.01520858215227746
39,0.015208949930205194
40,0.015208829388999687
41,0.015208530775781206
42,0.015208898733681302
43,0.015208816995469648
44,0.015208479374488791
45,0.015208847512056204
46,0.015209214354742045
47,0.015208893398874945
48,0.015208796265339865
49,0.015209163289470602
