model,frame,atoms,config_type,declared_xc,dft_field_prefix,dft_energy_eV,model_energy_eV,basis_signs,volume_A3,components,squared_error,component_rmse_eV_A,max_vector_error_eV_A,reference_component_rms_eV_A,diamond_referenced_error_eV_atom
MACE-MP-0b3-medium,0,1,isolated_atom,UNSPECIFIED,dft,-158.54496821,-0.8263903,1 1 1,8000.0,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,1,1,sh,UNSPECIFIED,dft,-162.78192,-5.04126841132258,1 1 1,16.300501868170457,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,2,1,sh,UNSPECIFIED,dft,-162.666465,-4.926149205093749,1 1 1,17.99836570939366,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,3,1,sh,UNSPECIFIED,dft,-162.748051,-5.043293701529127,1 1 1,16.35607640072815,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,4,1,sh,UNSPECIFIED,dft,-162.699367,-5.01493155128457,1 1 1,16.185740457157177,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,5,1,sh,UNSPECIFIED,dft,-162.704259,-5.025675697471764,1 1 1,15.303768826710556,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,6,1,sh,UNSPECIFIED,dft,-162.746046,-5.048641772838812,1 1 1,16.25818693528945,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,7,1,sh,UNSPECIFIED,dft,-162.765282,-5.051761836387905,1 1 1,14.95865702426806,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,8,1,sh,UNSPECIFIED,dft,-162.758977,-5.058425887650723,1 1 1,15.67491110029927,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,9,1,sh,UNSPECIFIED,dft,-162.684201,-5.013227880436619,1 1 1,14.3153884822466,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,10,1,sh,UNSPECIFIED,dft,-162.737901,-5.033052071974299,1 1 1,14.452243033000865,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,11,1,sh,UNSPECIFIED,dft,-162.79672,-5.058981351881592,1 1 1,15.766072798081117,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,12,1,sh,UNSPECIFIED,dft,-162.704527,-4.97267217443808,1 1 1,17.663050717174315,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,13,1,sh,UNSPECIFIED,dft,-162.753907,-5.054721429111774,1 1 1,16.088550269558905,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,14,1,sh,UNSPECIFIED,dft,-162.811738,-5.084951271280381,1 1 1,14.892883644492025,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,15,1,sh,UNSPECIFIED,dft,-162.769847,-5.06232138752616,1 1 1,14.562024573901075,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,16,1,sh,UNSPECIFIED,dft,-162.811399,-5.0779028211115245,1 1 1,15.68845449746998,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,17,1,sh,UNSPECIFIED,dft,-162.776422,-5.0580513872205985,1 1 1,14.565719119271835,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,18,1,sh,UNSPECIFIED,dft,-162.732554,-5.04662494181565,1 1 1,14.987902530521172,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,19,1,sh,UNSPECIFIED,dft,-162.666997,-5.01679293021451,1 1 1,15.221658246840963,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,20,1,sh,UNSPECIFIED,dft,-162.697939,-5.0198904123591745,1 1 1,15.097226471040493,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,21,1,sh,UNSPECIFIED,dft,-162.725876,-5.033163042011524,1 1 1,13.75184477443844,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,22,1,sh,UNSPECIFIED,dft,-162.733693,-5.03652622014135,1 1 1,13.925021034285134,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,23,1,sh,UNSPECIFIED,dft,-162.744771,-5.051872209616331,1 1 1,14.269215706504188,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,24,1,sh,UNSPECIFIED,dft,-162.803822,-5.076713373382088,1 1 1,15.722909861446086,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,25,1,sh,UNSPECIFIED,dft,-162.769283,-5.068428803718097,1 1 1,14.810777458339874,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,26,1,sh,UNSPECIFIED,dft,-162.719155,-5.0015211390606025,1 1 1,16.153034725616607,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,27,1,sh,UNSPECIFIED,dft,-162.711887,-5.007679574155689,1 1 1,15.011116637127031,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,28,1,sh,UNSPECIFIED,dft,-162.711684,-5.0106816889914425,1 1 1,14.439153722432248,3,0.0,0.0,0.0,0.0,
