time_model_units,survival,surface_demo_CDF,interface_demo_CDF,premature_intermediate_CDF,mass_residual
0.0,1.0,0.0,0.0,0.0,0.0
0.001,0.9999993514758788,3.9914802357535973e-07,2.4937609744848055e-07,0.0029955044966269995,-2.220446049250313e-16
0.001122806021890869,0.9999991826380155,5.030715960099311e-07,3.1429038831936765e-07,0.003362751309993084,-2.220446049250313e-16
0.0012606933627943998,0.9999989698798687,6.340327213536062e-07,3.9608740983564133e-07,0.0037749370315276476,-1.1102230246251565e-16
0.001415514099503402,0.9999987017909484,7.990572550348842e-07,4.99151796468941e-07,0.004237538487294357,-1.1102230246251565e-16
0.001589347754993852,0.9999983640023807,1.0069932595736243e-06,6.290043596378021e-07,0.00475669419148228,-1.1102230246251565e-16
0.0017845292301858304,0.9999979384224023,1.2689821572588626e-06,7.925954403917431e-07,0.005339282778894727,-1.1102230246251565e-16
0.002003680165892929,0.9999974022753315,1.5990511043259111e-06,9.986735641382617e-07,0.005993010338507965,0.0
0.002249744156207876,0.9999967268939282,2.014857526842607e-06,1.2582485451124749e-06,0.006726507553153294,0.0
0.0025260262863039977,0.9999958762024653,2.5386245527624544e-06,1.585172981819699e-06,0.007549437613520116,-1.1102230246251565e-16
0.0028362375257167567,0.9999948048121631,3.19831578973573e-06,1.996872047017774e-06,0.008472615933496574,-1.1102230246251565e-16
0.003184544573387636,0.999993455631131,4.02910999000134e-06,2.515258878933147e-06,0.009508142744833026,-1.1102230246251565e-16
0.003575625823979526,0.9999917568667772,5.075251168434409e-06,3.1678820541234962e-06,0.01066954968759981,-2.220446049250313e-16
0.004014734207192716,0.9999896182686616,6.3923683738329226e-06,3.989362964255944e-06,0.011971961532816655,-2.220446049250313e-16
0.004507767744127245,0.9999869264227207,8.050382374152304e-06,5.023194904896179e-06,0.013432274167117897,-2.220446049250313e-16
0.005061348768391494,0.9999835388621354,1.0137144985211858e-05,6.32399287892124e-06,0.015069349926258635,-4.440892098500626e-16
0.005682912876039902,0.9999792767039968,1.27629918190894e-05,7.960304183679183e-06,0.0169042312718366,-4.440892098500626e-16
0.006380808799098765,0.9999739154522068,1.6066432233897696e-05,1.0018115558677261e-05,0.018960373647583628,-5.551115123125783e-16
0.007164410544162338,0.9999671735232599,2.022125284259954e-05,1.2605223896889592e-05,0.021263898107634738,-5.551115123125783e-16
0.008044243302283918,0.9999586979498122,2.5445374939370978e-05,1.5856675247878556e-05,0.023843863954063793,-5.551115123125783e-16
0.009032124821359674,0.9999480465941479,3.2011883722810196e-05,1.9941522128682945e-05,0.026732561123507748,-5.551115123125783e-16
0.010141324139892636,0.9999346660563355,4.0262740546686014e-05,2.5071203117339487e-05,0.029965821384780766,-4.440892098500626e-16
0.011386739814218694,0.9999178642865049,5.062580107636691e-05,3.1509912418219056e-05,0.033583346504840406,-5.551115123125783e-16
0.012785100033109271,0.9998967767038143,6.363589467856e-05,3.95874015065765e-05,0.03762905035396369,-5.551115123125783e-16
