id,material,purity_wt_percent,microstructure,temperature_C,temperature_K,reported_tensile_YS_MPa,reported_uncertainty_MPa,uncertainty_convention,observable,plastic_strain_criterion,stress_component,loading_direction,strain_rate_per_second,strain_rate_relative_tolerance,source_pin_spacing_m,mobile_dislocation_density_m2,source_population,used_in_fit,comparable_to_current_source_model,source_doi,source_table,source_method,source_title,source_year,source_authors,xml_sha256
Pigato2026_6N_25C_YS,Al,99.9999,fully recrystallized equiaxed; reported Sections3.3/4,25.0,298.15,16.4,1.3,source95% confidence; null where only one test reported,reported tensile YS; numerical offset not explicitly stated in retrieved text,,axial,parallel to plate rolling direction; no specimen-specific cubic orientation,0.00025,0.2,,,,False,False,10.3390/ma19061195,Table2,experiment,Microstructural and Mechanical Characterization of Ultra-Pure Aluminum for Low-Amplitude-Vibration Cryogenic Applications,2026,Pigato et al.,12d13626301467ca8d9aecfb1ea516b0f46fd581f5075e5d5a6e314609cddf86
Pigato2026_5N5_25C_YS,Al,99.9995,deformation-fragmented substructure; reported Sections3.3/4,25.0,298.15,74.6,3.7,source95% confidence; null where only one test reported,reported tensile YS; numerical offset not explicitly stated in retrieved text,,axial,parallel to plate rolling direction; no specimen-specific cubic orientation,0.00025,0.2,,,,False,False,10.3390/ma19061195,Table2,experiment,Microstructural and Mechanical Characterization of Ultra-Pure Aluminum for Low-Amplitude-Vibration Cryogenic Applications,2026,Pigato et al.,12d13626301467ca8d9aecfb1ea516b0f46fd581f5075e5d5a6e314609cddf86
Pigato2026_5N_25C_YS,Al,99.999,recovered/subgrain microstructure; reported Section4,25.0,298.15,34.1,1.1,source95% confidence; null where only one test reported,reported tensile YS; numerical offset not explicitly stated in retrieved text,,axial,parallel to plate rolling direction; no specimen-specific cubic orientation,0.00025,0.2,,,,False,False,10.3390/ma19061195,Table2,experiment,Microstructural and Mechanical Characterization of Ultra-Pure Aluminum for Low-Amplitude-Vibration Cryogenic Applications,2026,Pigato et al.,12d13626301467ca8d9aecfb1ea516b0f46fd581f5075e5d5a6e314609cddf86
Pigato2026_6N_-50C_YS,Al,99.9999,fully recrystallized equiaxed; reported Sections3.3/4,-50.0,223.14999999999998,19.0,2.3,source95% confidence; null where only one test reported,reported tensile YS; numerical offset not explicitly stated in retrieved text,,axial,parallel to plate rolling direction; no specimen-specific cubic orientation,0.00025,0.2,,,,False,False,10.3390/ma19061195,Table2,experiment,Microstructural and Mechanical Characterization of Ultra-Pure Aluminum for Low-Amplitude-Vibration Cryogenic Applications,2026,Pigato et al.,12d13626301467ca8d9aecfb1ea516b0f46fd581f5075e5d5a6e314609cddf86
Pigato2026_5N5_-50C_YS,Al,99.9995,deformation-fragmented substructure; reported Sections3.3/4,-50.0,223.14999999999998,82.9,1.6,source95% confidence; null where only one test reported,reported tensile YS; numerical offset not explicitly stated in retrieved text,,axial,parallel to plate rolling direction; no specimen-specific cubic orientation,0.00025,0.2,,,,False,False,10.3390/ma19061195,Table2,experiment,Microstructural and Mechanical Characterization of Ultra-Pure Aluminum for Low-Amplitude-Vibration Cryogenic Applications,2026,Pigato et al.,12d13626301467ca8d9aecfb1ea516b0f46fd581f5075e5d5a6e314609cddf86
Pigato2026_5N_-50C_YS,Al,99.999,recovered/subgrain microstructure; reported Section4,-50.0,223.14999999999998,35.5,,source95% confidence; null where only one test reported,reported tensile YS; numerical offset not explicitly stated in retrieved text,,axial,parallel to plate rolling direction; no specimen-specific cubic orientation,0.00025,0.2,,,,False,False,10.3390/ma19061195,Table2,experiment,Microstructural and Mechanical Characterization of Ultra-Pure Aluminum for Low-Amplitude-Vibration Cryogenic Applications,2026,Pigato et al.,12d13626301467ca8d9aecfb1ea516b0f46fd581f5075e5d5a6e314609cddf86
Pigato2026_6N_-100C_YS,Al,99.9999,fully recrystallized equiaxed; reported Sections3.3/4,-100.0,173.14999999999998,21.2,,source95% confidence; null where only one test reported,reported tensile YS; numerical offset not explicitly stated in retrieved text,,axial,parallel to plate rolling direction; no specimen-specific cubic orientation,0.00025,0.2,,,,False,False,10.3390/ma19061195,Table2,experiment,Microstructural and Mechanical Characterization of Ultra-Pure Aluminum for Low-Amplitude-Vibration Cryogenic Applications,2026,Pigato et al.,12d13626301467ca8d9aecfb1ea516b0f46fd581f5075e5d5a6e314609cddf86
Pigato2026_5N5_-100C_YS,Al,99.9995,deformation-fragmented substructure; reported Sections3.3/4,-100.0,173.14999999999998,88.5,3.8,source95% confidence; null where only one test reported,reported tensile YS; numerical offset not explicitly stated in retrieved text,,axial,parallel to plate rolling direction; no specimen-specific cubic orientation,0.00025,0.2,,,,False,False,10.3390/ma19061195,Table2,experiment,Microstructural and Mechanical Characterization of Ultra-Pure Aluminum for Low-Amplitude-Vibration Cryogenic Applications,2026,Pigato et al.,12d13626301467ca8d9aecfb1ea516b0f46fd581f5075e5d5a6e314609cddf86
Pigato2026_5N_-100C_YS,Al,99.999,recovered/subgrain microstructure; reported Section4,-100.0,173.14999999999998,37.0,,source95% confidence; null where only one test reported,reported tensile YS; numerical offset not explicitly stated in retrieved text,,axial,parallel to plate rolling direction; no specimen-specific cubic orientation,0.00025,0.2,,,,False,False,10.3390/ma19061195,Table2,experiment,Microstructural and Mechanical Characterization of Ultra-Pure Aluminum for Low-Amplitude-Vibration Cryogenic Applications,2026,Pigato et al.,12d13626301467ca8d9aecfb1ea516b0f46fd581f5075e5d5a6e314609cddf86
Pigato2026_6N_-150C_YS,Al,99.9999,fully recrystallized equiaxed; reported Sections3.3/4,-150.0,123.14999999999998,24.2,,source95% confidence; null where only one test reported,reported tensile YS; numerical offset not explicitly stated in retrieved text,,axial,parallel to plate rolling direction; no specimen-specific cubic orientation,0.00025,0.2,,,,False,False,10.3390/ma19061195,Table2,experiment,Microstructural and Mechanical Characterization of Ultra-Pure Aluminum for Low-Amplitude-Vibration Cryogenic Applications,2026,Pigato et al.,12d13626301467ca8d9aecfb1ea516b0f46fd581f5075e5d5a6e314609cddf86
