분류,부품명/사양,필수도,필요수량,권장여분,동아리 조달 가능 수량,예상단가,통화,구매/견적 링크,비고,가격근거,구매필요수량,예상구매비용
구동계,750 W AC servo motor + 220 V driver kit,필수,1,0,0,379400,KRW,https://www.coupang.com/vp/products/8285927467,2.39 N·m / 3000 rpm 급. 실제 반복주기/스트로크/하중에서 동특성 검증 필요.,실판매가,1,379400
동력전달,SFU1605 300 mm ball-screw kit (BK/BF supports + coupler),필수,1,0,0,133840,KRW,https://www.coupang.com/vp/products/9340038494,C7급 저가 키트 기준. 반복하중 수명·백래시·축정렬 검증 필요.,실판매가,1,133840
가이드,HGR15 300 mm linear guide set (2 rails + 4 blocks),필수,1,0,0,111440,KRW,https://www.coupang.com/vp/products/9409933698,축하중은 볼스크류/프레임이 받도록 하고 가이드는 정렬·횡하중 억제용.,실판매가,1,111440
구조물,Steel load frame / base plate fabrication,필수,1,0,0,180000,KRW,,2 kN급 반복하중을 보수적으로 견디는 강재 프레임. 동아리 가공/용접 가능 시 비용 크게 감소.,로컬가공 추정,1,180000
치구,Specimen tensile grips / clevis pair fabrication,필수,1,0,0,100000,KRW,,시편 형상에 맞춰 강재 가공. 편심하중 최소화가 중요.,로컬가공 추정,1,100000
힘계측,S-type load cell 200 kg (~2 kN),필수,1,0,0,39200,KRW,https://www.coupang.com/vp/products/8655276062,인장/압축 S형. 실제 피로시험 전 정적 교정 필요.,실판매가,1,39200
제어,STM32F407VET6 development board,필수,1,1,0,19200,KRW,https://catalog.11st.co.kr/pc/176554266?poc=pc&sortCds=DLV_INCLUDE,실시간 force loop + timestamp telemetry용. 1개 여분 권장.,가격비교 최저가,2,38400
제어,ST-LINK/V2 compatible programmer,필수,1,0,0,8800,KRW,https://www.ic114.com/WebSite/site/SC/30L0.ASPX?tree=052201,STM32 디버깅/플래시용.,국내판매가,1,8800
아날로그,AD620 instrumentation amplifier module,필수,2,1,0,6000,KRW,https://www.coupang.com/vp/products/7166761134,로드셀/strain bridge 저전압 증폭용. 실제 PCB에서는 저잡음 설계 재검토.,실판매가,3,18000
DAQ,ADS1256 24-bit ADC module,필수,1,0,0,25700,KRW,https://www.coupang.com/vp/products/7539299390,DCPD/strain logging용. 하드 실시간 force feedback은 STM32 ADC 경로와 분리 권장.,실판매가,1,25700
