comparison,first,second,energy_difference_eV,energy_difference_uses_identical_operator,energy_difference_is_a_transition_barrier,common_rows,comparison_radius_over_L0,maximum_vector_change_over_L0,rms_vector_change_over_L0,maximum_screw_change_over_L0,maximum_transverse_change_over_L0,infinite_domain_certified,macroscopic_residual_plasticity
source_independent_translation,results/current_material_core_v22/source_reference/translated_plus_R16r5,results/current_material_core_v22/source_reference/stress_R16r5/positive_3_0MPa,-1.7763568394002505e-15,True,False,4,1.0,2.714780594051441e-09,1.8772683249939375e-09,2.6570908251422054e-09,5.566884413955516e-10,False,False
source_independent_translation,results/current_material_core_v22/source_reference/translated_plus_R16r5,results/current_material_core_v22/source_reference/stress_R16r5/positive_3_0MPa,-1.7763568394002505e-15,True,False,18,2.0,2.981095963118512e-09,1.7636354396892008e-09,2.921513281295418e-09,6.322097486215039e-10,False,False
source_independent_translation,results/current_material_core_v22/source_reference/translated_plus_R16r5,results/current_material_core_v22/source_reference/stress_R16r5/positive_3_0MPa,-1.7763568394002505e-15,True,False,72,4.0,3.166779902802242e-09,1.5325309062794405e-09,3.087034960991275e-09,7.061940968386628e-10,False,False
source_independent_two_row_translation,results/current_material_core_v22/source_reference/translated_j2_R20r5,results/current_material_core_v22/source_reference/stress_R20r5/positive_3_0MPa,9.325873406851315e-15,True,False,4,1.0,1.3023148642910157e-09,1.0254786067523653e-09,1.2097774448882603e-09,4.821436918522934e-10,False,False
source_independent_two_row_translation,results/current_material_core_v22/source_reference/translated_j2_R20r5,results/current_material_core_v22/source_reference/stress_R20r5/positive_3_0MPa,9.325873406851315e-15,True,False,18,2.0,1.6329313380022135e-09,9.95110775458881e-10,1.5580537970905084e-09,5.037639804897575e-10,False,False
source_independent_two_row_translation,results/current_material_core_v22/source_reference/translated_j2_R20r5,results/current_material_core_v22/source_reference/stress_R20r5/positive_3_0MPa,9.325873406851315e-15,True,False,72,4.0,1.6446270638477422e-09,8.843004099354172e-10,1.5957374310815453e-09,5.037639804897575e-10,False,False
trial_independent_stationary_solver,results/current_material_core_v22/probe_core_plus_R10r7,results/current_material_core_v22/probe_stationary_R10r7,-1.9317880628477724e-14,True,False,4,1.0,3.188900718037227e-08,2.107343424569523e-08,3.173961954372473e-08,5.225176234096051e-09,False,False
trial_independent_stationary_solver,results/current_material_core_v22/probe_core_plus_R10r7,results/current_material_core_v22/probe_stationary_R10r7,-1.9317880628477724e-14,True,False,18,2.0,3.188900718037227e-08,2.093338205598525e-08,3.173961954372473e-08,6.01340593557963e-09,False,False
trial_independent_stationary_solver,results/current_material_core_v22/probe_core_plus_R10r7,results/current_material_core_v22/probe_stationary_R10r7,-1.9317880628477724e-14,True,False,72,4.0,3.188900718037227e-08,1.698746331827546e-08,3.173961954372473e-08,6.01340593557963e-09,False,False
trial_combined_domain_and_ring,results/current_material_core_v22/probe_core_plus_R8r5,results/current_material_core_v22/probe_stationary_R10r7,0.08573087353602782,False,False,4,1.0,0.0010824862250906557,0.0009091283830099267,0.0007521717205459244,0.0010820638818254832,False,False
trial_combined_domain_and_ring,results/current_material_core_v22/probe_core_plus_R8r5,results/current_material_core_v22/probe_stationary_R10r7,0.08573087353602782,False,False,18,2.0,0.0021378223980858873,0.0014374365217132289,0.0011605725086251129,0.0018984094796484898,False,False
