target_id,quantity,symbol,value,units,temperature_K,orientation_or_path,method,source_title,authors,year,identifier,mapping_class,used_for_fit,notes,full_fcc_role,full_fcc_mapping
mishin_lattice,lattice parameter,a_lat,4.05,angstrom,0,FCC,EAM,Interatomic potentials for monoatomic metals from experimental data and ab initio calculations,Y. Mishin; D. Farkas; M. J. Mehl; D. A. Papaconstantopoulos,1999,doi:10.1103/PhysRevB.59.3393,GEOMETRICALLY PROJECTABLE,yes,"Sets b=a_lat/sqrt(2), h111=a_lat/sqrt(3), and A_atomic_cell; NIST release reproduces 4.05 angstrom.",fit,bulk equilibrium; b and h111
mishin_cohesion,cohesive energy,E_coh,3.36,eV/atom,0,FCC,EAM,Interatomic potentials for monoatomic metals from experimental data and ab initio calculations,Y. Mishin; D. Farkas; M. J. Mehl; D. A. Papaconstantopoulos,1999,doi:10.1103/PhysRevB.59.3393,EFFECTIVE / COARSE-GRAINED,yes,Compared with atomization of the complete two-row cell; this is not a direct FCC coordination mapping.,fit,full bulk atomization energy per atom
mishin_c11,elastic constant,C11,114,GPa,0,cubic axes,EAM,Interatomic potentials for monoatomic metals from experimental data and ab initio calculations,Y. Mishin; D. Farkas; M. J. Mehl; D. A. Papaconstantopoulos,1999,doi:10.1103/PhysRevB.59.3393,GEOMETRICALLY PROJECTABLE,yes,Combined with C12 and C44 into fixed-lateral [111] longitudinal modulus.,fit,combined into full-FCC strain Hessian
mishin_c12,elastic constant,C12,62,GPa,0,cubic axes,EAM,Interatomic potentials for monoatomic metals from experimental data and ab initio calculations,Y. Mishin; D. Farkas; M. J. Mehl; D. A. Papaconstantopoulos,1999,doi:10.1103/PhysRevB.59.3393,GEOMETRICALLY PROJECTABLE,yes,Combined with C11 and C44.,fit,combined into full-FCC strain Hessian
mishin_c44,elastic constant,C44,32,GPa,0,cubic axes,EAM,Interatomic potentials for monoatomic metals from experimental data and ab initio calculations,Y. Mishin; D. Farkas; M. J. Mehl; D. A. Papaconstantopoulos,1999,doi:10.1103/PhysRevB.59.3393,GEOMETRICALLY PROJECTABLE,yes,Combined with C11 and C12.,fit,combined into full-FCC strain Hessian
mishin_surface111,(111) surface energy,gamma_111,0.870,J/m^2,0,(111),EAM,Interatomic potentials for monoatomic metals from experimental data and ab initio calculations,Y. Mishin; D. Farkas; M. J. Mehl; D. A. Papaconstantopoulos,1999,doi:10.1103/PhysRevB.59.3393,GEOMETRICALLY PROJECTABLE,no,Alternative internally consistent EAM opening target; held out because the fit uses the DFT value.,held_out,alternate consistent-EAM surface target
mishin_vacancy,vacancy formation energy,E_vac,0.68,eV,0,FCC bulk,EAM,Interatomic potentials for monoatomic metals from experimental data and ab initio calculations,Y. Mishin; D. Farkas; M. J. Mehl; D. A. Papaconstantopoulos,1999,doi:10.1103/PhysRevB.59.3393,NOT CURRENTLY MAPPABLE,no,Uniform two-row model has no vacancy coordinate.,unrepresentable,no vacancy coordinate/state
lu_isf,intrinsic stacking-fault energy,gamma_isf,0.164,J/m^2,0,(111) a/6<112>,LDA-DFT,Generalized-stacking-fault energy surface and dislocation properties of aluminum,G. Lu; N. Kioussis; V. V. Bulatov; E. Kaxiras,2000,doi:10.1103/PhysRevB.62.3099,NOT CURRENTLY MAPPABLE,no,Held out; absent intermediate minimum diagnoses reduced-path insufficiency.,held_out,active-interface Shockley endpoint
lu_usf112,unstable stacking-fault energy,gamma_usf_112,0.224,J/m^2,0,(111) lowest path toward a/6<112>,LDA-DFT,Generalized-stacking-fault energy surface and dislocation properties of aluminum,G. Lu; N. Kioussis; V. V. Bulatov; E. Kaxiras,2000,doi:10.1103/PhysRevB.62.3099,GEOMETRICALLY PROJECTABLE,no,"Held-out lower-energy path, not the model's direct full-Burgers <110> path.",held_out,active-interface Shockley path
lu_usf110,unstable stacking-fault energy,gamma_usf_110,0.250,J/m^2,0,(111) a/4<101>,LDA-DFT,Generalized-stacking-fault energy surface and dislocation properties of aluminum,G. Lu; N. Kioussis; V. V. Bulatov; E. Kaxiras,2000,doi:10.1103/PhysRevB.62.3099,DIRECTLY MAPPABLE,yes,Maps to the symmetric s=b/2 saddle when b=a_lat/2<101>.,held_out,active-interface direct_110 GSF
wei_surface111,clean (111) surface energy,gamma_111,1.06,J/m^2,0,(111),DFT,A DFT study of the adsorption of O2 and H2O on Al(111) surfaces,X. Wei; C. Dong; Z. Chen; K. Xiao; X. Li,2016,doi:10.1039/C6RA08958E,GEOMETRICALLY PROJECTABLE,yes,Work of separation target is 2*gamma_111 for two clean surfaces; electronic DFT value.,held_out,active-interface work of separation
